index,timestamp,body1,body2,body3,body1_ratio,body3_ratio,body_avg_outer,body_avg_outer_ratio,range1,range2,range3,range_ratio_1_to_2,range_ratio_3_to_2,upper_tail1,lower_tail1,upper_tail2,lower_tail2,upper_tail3,lower_tail3,middle_high,middle_low,middle_point,middle_close,middle_open,middle_is_bullish,candle1_is_bullish,candle3_is_bullish,is_doji_1,is_doji_2,is_doji_3,max_upside,max_downside,larger_move
8,2025-05-04 15:03:23.820324,6.61504965864151,30.15915903342102,11.61917428385641,0.21933800114621932,0.38526187918504506,9.11711197124896,0.3022999401656322,73.6186329588163,45.1975950325359,171.63793289387831,1.6288174825634254,3.797501454896509,34.854734258609824,32.14884904156497,0.0,15.038435999114881,96.58604668098269,63.432711929039215,45308.98789312555,45263.790298093016,45286.38909560928,45278.82873409213,45308.98789312555,False,True,True,True,False,True,1517.3594419214132,1143.3434643437795,UP
14,2025-05-04 16:33:23.820324,6.563050958466192,32.54712281902175,13.997499671953847,0.20164765392504988,0.4300687268053441,10.28027531521002,0.31585819036519697,36.23196481883497,195.883756784242,246.53216586253984,0.18496666295175768,1.2585635986861585,3.899210693547502,25.769703166821273,30.237556565502018,133.09907739971823,107.40163245461736,125.13303373596864,45093.52305380107,44897.63929701683,44995.58117540895,45030.73837441655,45063.28549723557,False,False,False,False,False,True,1808.1673621217415,852.5355441434513,UP
20,2025-05-04 18:03:23.820324,11.845030717762711,24.018596132591483,7.302744707267266,0.49316082640191733,0.3040454432454515,9.573887712514988,0.3986031348236844,245.08922419389273,80.06313604200841,188.67495013120788,3.0611994022479534,2.356577064783121,119.66185928681807,113.58233418931195,49.9723697208683,6.0721701885486254,48.86752404978324,132.50468137415737,44946.12062375882,44866.05748771681,44906.089055737815,44896.14825403795,44872.12965790536,True,False,False,True,False,True,1897.659481792878,763.0434244723147,UP
55,2025-05-05 02:48:23.820324,2.0577022685902193,19.720417073142016,1.2153719825510052,0.10434374998045462,0.06163013581524431,1.6365371255706123,0.08298694289784947,190.3125843838934,172.98672967736638,127.85188332498365,1.1001571319305306,0.7390849203487302,84.70804484477412,103.54683727052907,132.76371637076954,20.502596233454824,112.00340619823692,14.633105144195724,44574.80958256457,44401.822852887206,44488.31621772589,44442.0458661938,44422.32544912066,True,True,False,True,False,True,2315.4323198048005,345.2705864603922,UP
57,2025-05-05 03:18:23.820324,1.2153719825510052,34.751545229730255,14.707692652336846,0.03497317815701743,0.42322413449846497,7.961532317443925,0.22909865632774118,127.85188332498365,130.379313079844,104.99883946320915,0.9806147946698219,0.8053335838555009,112.00340619823692,14.633105144195724,3.1288111077519716,92.49895674236177,13.524248736561276,76.76689807431103,44406.09627740698,44275.71696432713,44340.906620867056,44368.215921069495,44402.967466299226,False,False,True,True,False,False,2462.8419166636377,197.86098960155505,UP
74,2025-05-05 07:33:23.820324,1.1800274135457585,24.923131034454855,4.756808911326516,0.04734667614251338,0.1908592024312872,2.968418162436137,0.1191029392869003,156.5362169064465,217.67054503050895,53.158478951423604,0.719142853639229,0.24421530687109205,89.83333529769152,65.52285419520922,108.826815293236,83.9205987028181,6.495817771829024,41.90585226826806,44630.694203170075,44413.023658139566,44521.858930654824,44521.86738787684,44496.944256842384,True,False,False,True,False,True,2281.8896068758695,378.8132993893232,UP
76,2025-05-05 08:03:23.820324,4.756808911326516,16.215243540718802,2.4998793212071178,0.2933541453991417,0.15416847208798082,3.628344116266817,0.22376130874356123,53.158478951423604,103.66203887797019,119.11569725391746,0.5128056473402108,1.1490773145426856,6.495817771829024,41.90585226826806,39.3576335438338,48.08916179341759,30.48046447429806,86.13535345841228,44640.8589006134,44537.19686173543,44589.027881174414,44585.286023528846,44601.501267069565,False,False,False,True,False,True,2214.7206563562795,445.9822499089132,UP
93,2025-05-05 12:18:23.820324,12.558632746207877,28.292892235062027,8.401492456621781,0.44387942532946717,0.29694710554229636,10.48006260141483,0.37041326543588177,90.27336536828807,126.14185679818183,141.11767807414435,0.7156495683484282,1.1187220614638866,5.978929404700466,71.73580321737973,90.39815585668839,7.450808706431417,73.97651061043143,58.73967500709114,44650.21732533524,44524.075468537056,44587.14639693615,44531.52627724349,44559.81916947855,False,False,True,False,False,True,2216.602140594543,444.1007656706497,UP
100,2025-05-05 14:03:23.820324,2.941656849376159,25.112816804510658,7.448965824492916,0.11713767007004132,0.29662008377948923,5.195311336934537,0.20687887692476528,176.4144252580736,34.49127647733985,104.98431299316871,5.1147548967628005,3.0437932055701538,73.07219744867325,100.4005709600242,9.378459672829194,0.0,87.86527029569697,9.670076872978825,44354.045572750525,44319.554296273185,44336.79993451186,44344.667113077696,44319.554296273185,True,True,True,True,False,True,2466.9486030188345,193.75430324635818,UP
115,2025-05-05 17:48:23.820324,13.751055087996065,28.467766698617197,13.02163214245229,0.48303947526252605,0.45741670852897665,13.386343615224177,0.4702280918957514,146.9737809761573,93.20627831797901,111.2401822608299,1.576865675021881,1.193483789593305,0.0,133.22272588816122,0.0,64.73851161936182,6.51668371084088,91.70186640753673,44500.25577581769,44407.04949749971,44453.652636658706,44471.788009119075,44500.25577581769,False,False,False,True,False,False,2350.0959008719874,239.5919664362009,UP
